Country	GWP13VA	GWP13GE	GWP13RL	GWP13CC
Afghanistan	0.18	0.48	0.54	0.18
Angola	0.27	0.43	0.63	0.13
Albania	0.21	0.50	0.52	0.28
United Arab Emirates	NA	0.80	0.90	NA
Argentina	0.48	0.54	0.56	0.23
Armenia	0.14	0.49	0.61	0.23
Australia	0.63	0.60	0.78	0.59
Austria	0.57	0.76	0.81	0.38
Azerbaijan	0.47	0.58	0.69	0.49
Burundi	0.83	0.45	0.74	0.32
Belgium	0.68	0.70	0.74	0.52
Benin	0.45	0.34	0.71	0.21
Burkina Faso	0.54	0.43	0.74	0.27
Bangladesh	0.67	0.70	0.77	0.38
Bulgaria	0.14	0.43	0.55	0.21
Bahrain	NA	0.66	0.73	0.70
Bahamas, The	NA	NA	NA	NA
Bosnia and Herzegovina	0.23	0.40	0.62	0.09
Belarus	0.38	0.55	0.64	0.61
Belize	0.25	0.43	0.50	0.31
Bolivia	0.32	0.61	0.44	0.24
Brazil	0.17	0.45	0.57	0.31
Bhutan	0.84	0.86	0.87	0.50
Botswana	0.67	0.47	0.61	0.26
Central African Republic	0.57	0.24	0.73	0.26
Canada	0.59	0.64	0.77	0.59
Switzerland	0.82	0.81	0.87	0.77
Chile	0.35	0.60	0.57	0.37
China	NA	0.68	0.73	NA
Cote d'Ivoire	0.40	0.36	0.66	0.45
Cameroon	0.36	0.42	0.62	0.16
Congo, Rep.	0.37	0.48	0.60	0.34
Colombia	0.16	0.57	0.55	0.13
Comoros	0.24	0.37	0.63	0.29
Costa Rica	0.46	0.68	0.60	0.16
Cuba	0.51	0.32	0.69	NA
Cyprus	0.59	0.63	0.60	0.18
Czech Republic	0.51	0.56	0.66	0.13
Germany	0.63	0.69	0.78	0.53
Djibouti	0.58	0.62	0.73	0.57
Denmark	0.61	0.70	0.85	0.86
Dominican Republic	0.38	0.69	0.53	0.33
Algeria	0.34	0.63	0.76	0.32
Ecuador	0.47	0.69	0.60	0.39
Egypt, Arab Rep.	0.34	0.34	0.58	0.12
