Country	GWP09VA	GWP09GE	GWP09RL	GWP09CC	GDP
Afghanistan	0.34	0.49	0.57	0.19	12486950468
Angola	0.54	0.56	0.57	0.29	75492416523
Albania	0.24	0.53	0.60	0.27	12044208086
United Arab Emirates	NA	0.67	0.90	NA	253547000000
Argentina	0.32	0.54	0.50	0.15	378496000000
Armenia	0.16	0.55	0.63	0.27	8647936748
Australia	0.66	0.60	0.75	0.66	926283000000
Austria	0.57	0.71	0.81	0.47	397570000000
Azerbaijan	0.59	0.56	0.68	0.35	44291490421
Burundi	0.66	0.52	0.73	0.32	1739781536
Belgium	0.70	0.73	0.73	0.53	485804000000
Benin	0.42	0.34	0.63	0.37	6584477485
Burkina Faso	0.31	0.28	0.66	0.31	8348156389
Bangladesh	0.76	0.67	0.78	0.28	102478000000
Bulgaria	0.37	0.40	0.57	0.19	50161405417
Bahrain	NA	0.75	0.80	0.70	22938462111
Bahamas, The	NA	NA	NA	NA	NA
Bosnia and Herzegovina	0.41	0.55	0.65	0.19	17264893103
Belarus	0.35	0.58	0.61	0.60	49208656976
Belize	0.25	0.43	0.50	0.31	1336957250
Bolivia	0.40	0.65	0.41	0.32	17339992165
Brazil	0.26	0.51	0.57	0.31	1620190000000
Bhutan	NA	NA	NA	NA	1264758198
Botswana	0.93	0.50	0.76	0.31	10106837293
Central African Republic	0.37	0.25	0.72	0.32	1981728179
Canada	0.70	0.64	0.77	0.60	1370840000000
Switzerland	0.80	0.81	0.81	0.73	539508000000
Chile	0.44	0.68	0.55	0.40	172323000000
China	NA	0.64	0.70	NA	4990230000000
Cote d'Ivoire	0.32	0.21	0.61	0.16	24277494337
Cameroon	0.17	0.48	0.58	0.08	23381142604
Congo, Rep.	0.18	0.40	0.55	NA	NA
Colombia	0.25	0.66	0.55	0.25	233822000000
Comoros	0.21	0.34	0.50	0.18	514788085
Costa Rica	0.60	0.68	0.59	0.25	29382692643
Cuba	0.51	0.32	0.69	NA	62078610000
Cyprus	0.75	0.56	0.67	0.29	23542650736
Czech Republic	0.51	0.58	0.57	0.21	205730000000
Germany	0.59	0.67	0.79	0.54	3412770000000
Djibouti	0.38	0.60	0.71	0.39	1198997305
Denmark	0.92	0.69	0.87	0.82	319764000000
Dominican Republic	0.47	0.59	0.55	0.36	47889008135
Algeria	0.35	0.56	0.67	0.25	137212000000
Ecuador	0.30	0.65	0.46	0.35	62519686000
Egypt, Arab Rep.	0.28	0.68	0.75	0.32	NA
Spain	0.64	0.69	0.66	0.33	1498980000000
Estonia	0.34	0.55	0.65	0.42	19640620154
Ethiopia	0.19	0.36	0.55	0.16	32437389116
Finland	0.90	0.61	0.85	0.87	251484000000
Fiji	NA	NA	NA	NA	2870624636
France	0.63	0.70	0.73	0.50	2693670000000
Gabon	NA	NA	NA	NA	12031268402
United Kingdom	0.63	0.66	0.74	0.48	2308930000000
Georgia	0.23	0.66	0.66	0.61	10766836277
Ghana	0.60	0.47	0.71	0.20	25978508376
Guinea	0.16	0.27	0.54	0.36	4609923720
Greece	0.73	0.55	0.73	0.09	329837000000
Guatemala	0.32	0.70	0.50	0.24	37733655166
Guyana	0.29	0.69	0.60	0.39	2025565089
Hong Kong SAR, China	0.76	0.77	0.86	0.85	NA
Honduras	0.28	0.65	0.56	0.17	14587485644
Croatia	0.38	0.61	0.63	0.24	62636688809
Haiti	0.19	0.32	0.52	0.30	6584649419
Hungary	0.36	0.53	0.69	0.20	129360000000
Indonesia	0.60	0.66	0.78	0.18	539580000000
India	0.50	0.66	0.77	0.19	1365370000000
Ireland	0.67	0.63	0.73	0.45	233542000000
Iran, Islamic Rep.	0.50	0.53	0.67	0.23	NA
Iraq	0.26	0.53	0.70	0.27	111661000000
Iceland	0.54	0.72	0.75	0.42	12823849535
Israel	0.32	0.60	0.68	0.11	206479000000
Italy	0.52	0.55	0.70	0.27	2186110000000
Jamaica	0.15	0.61	0.57	0.13	12125023181
Jordan	0.42	0.74	0.81	0.43	23818322958
Japan	0.57	0.62	0.74	0.28	5035140000000
Kazakhstan	0.39	0.53	0.62	0.40	115309000000
Kenya	0.11	0.42	0.50	0.06	37021512049
Kyrgyz Republic	0.33	0.55	0.59	0.20	4690062255
Cambodia	0.87	0.91	0.76	0.15	10401935532
Korea, Rep.	0.39	0.65	0.58	0.30	NA
Kosovo	0.38	0.48	0.76	0.31	5653860934
Kuwait	0.61	0.68	0.82	NA	105911000000
Lao PDR	0.81	0.72	0.82	0.54	5832882922
Lebanon	0.39	0.56	0.59	0.14	35139635158
Liberia	0.45	0.19	0.46	0.16	1155146230
Libya	NA	NA	NA	NA	62360446571
Sri Lanka	0.57	0.69	0.84	0.53	42067974595
Lesotho	NA	NA	NA	NA	1708772782
Lithuania	0.36	0.47	0.54	0.13	37050081723
Luxembourg	0.79	0.79	0.85	0.76	50141325205
Latvia	0.28	0.50	0.54	0.28	25875781250
Morocco	0.20	0.43	0.76	0.06	90908402631
Moldova	0.21	0.45	0.48	0.23	5439422031
Madagascar	0.56	0.53	0.77	0.26	8550363829
Maldives	NA	NA	NA	NA	1984639641
Mexico	0.35	0.68	0.54	0.25	895313000000
Macedonia, FYR	0.32	0.55	0.59	0.26	NA
Mali	0.28	0.20	0.61	0.09	8964480570
Malta	0.47	0.50	0.65	0.39	8099400961
Myanmar	NA	0.75	0.95	NA	NA
Montenegro	0.43	0.56	0.61	0.51	4158135026
Mongolia	0.15	0.38	0.52	0.17	4583834427
Mozambique	0.40	0.63	0.63	0.17	10726631100
Mauritania	0.30	0.36	0.62	0.23	3027020496
Mauritius	NA	NA	NA	NA	8834661043
Malawi	0.80	0.63	0.74	0.35	5030639934
Malaysia	0.70	0.84	0.82	0.31	202251000000
Namibia	0.73	0.65	0.75	0.16	8875960840
Niger	0.50	0.38	0.79	0.54	5397121962
Nigeria	0.11	0.29	0.55	0.11	169481000000
Nicaragua	0.31	0.63	0.55	0.28	8380731881
Netherlands	0.86	0.69	0.77	0.67	858034000000
Norway	0.70	0.56	0.84	0.67	378849000000
Nepal	0.31	0.59	0.67	0.19	12899651884
New Zealand	0.63	0.62	0.71	0.68	118953000000
Oman	NA	NA	NA	NA	48388296879
Pakistan	0.18	0.52	0.54	0.30	167875000000
Panama	0.66	0.63	0.55	0.17	25925100000
Peru	0.26	0.51	0.41	0.15	121200000000
Philippines	0.44	0.74	0.76	0.23	168334000000
Poland	0.56	0.52	0.69	0.32	436476000000
Puerto Rico	0.22	0.42	0.64	0.12	96385638000
Portugal	0.61	0.72	0.67	0.27	243731000000
Paraguay	0.41	0.55	0.54	0.20	15929903100
Qatar	0.64	0.65	0.91	0.92	97798348830
Romania	0.33	0.55	0.58	0.13	164344000000
Russian Federation	0.25	0.43	0.50	0.23	1222640000000
Rwanda	0.85	0.53	0.89	0.67	5308990209
Saudi Arabia	0.48	0.65	0.81	0.68	429098000000
Sudan	0.35	0.57	0.75	0.38	53149439401
Senegal	0.32	0.29	0.68	0.16	12812994670
Singapore	0.90	0.93	0.96	0.99	192406000000
Sierra Leone	0.65	0.24	0.64	0.14	2453972925
El Salvador	0.53	0.70	0.60	0.48	20661000000
Somalia	NA	0.44	0.66	0.37	NA
Serbia	0.57	0.60	0.61	0.29	42616653300
Suriname	NA	NA	NA	NA	3875409836
Slovak Republic	0.44	0.41	0.57	0.12	88634272020
Slovenia	0.72	0.64	0.62	0.37	50244793832
Sweden	0.87	0.67	0.75	0.80	429656000000
Swaziland	NA	NA	NA	NA	3144680749
Syrian Arab Republic	0.55	0.60	0.70	0.58	NA
Chad	0.12	0.40	0.52	0.08	9253484290
Togo	0.11	0.17	0.46	0.25	3163000591
Thailand	0.44	0.79	0.78	0.20	263711000000
Tajikistan	0.58	0.63	0.76	0.62	4979481980
Turkmenistan	NA	NA	NA	NA	20214385965
Trinidad and Tobago	0.22	0.62	0.44	0.08	19332270662
Tunisia	0.80	0.69	0.87	0.62	43454935940
Turkey	0.47	0.57	0.76	0.43	614554000000
Taiwan, China	0.22	0.65	0.56	0.27	NA
Tanzania	0.38	0.46	0.62	0.09	21368165683
Uganda	0.27	0.43	0.58	0.10	14824492062
Ukraine	0.09	0.44	0.43	0.14	117228000000
Uruguay	0.82	0.72	0.64	0.62	30461322498
United States	0.59	0.65	0.77	0.34	14418700000000
Uzbekistan	0.62	0.78	0.81	0.65	32816828373
Venezuela, RB	0.42	0.64	0.54	0.30	NA
Vietnam	0.64	0.71	0.80	0.42	106015000000
West Bank and Gaza	0.47	0.58	0.59	0.36	7268200000
Yemen, Rep.	0.43	0.48	0.56	0.24	NA
South Africa	0.55	0.65	0.64	0.09	284183000000
Congo, Dem. Rep.	0.24	0.21	0.50	0.15	NA
Zambia	0.30	0.54	0.69	0.14	15328314220
Zimbabwe	0.11	0.36	0.47	0.10	8157077400
