Country Name	2006	2007	2008	2009	2010	2011	2012	2013
Aruba	2421474860	2623726257	2791960894	2498932961	2467703911	2584463687		
Andorra	2823503853	3245411584	3712034267					
Afghanistan	7057597614	9843851009	10190534637	12486950468	15936784437	17870159082	20506795254	20309671015
Angola	41789493192	60448887583	84178084135	75492416523	82470894868	104116000000	115342000000	124178000000
Albania	9132558097	10701011524	12881353508	12044208086	11926957255	12890866743	12344529628	12923240278
Arab World	1399820000000	1638670000000	2079570000000	1791750000000	2097880000000	2487910000000	2744380000000	2853080000000
United Arab Emirates	222106000000	257916000000	315475000000	253547000000	286049000000	347454000000	372314000000	402340000000
Argentina	264490000000	329761000000	406004000000	378496000000	462704000000	557727000000	603153000000	609889000000
Armenia	6384457744	9206301700	11662040714	8647936748	9260287416	10142342770	9958217880	10432169571
American Samoa								
Antigua and Barbuda	1135143573	1289254311	1347349852	1206410370	1135539037	1129918370	1204713111	1200587519
Australia	747206000000	853441000000	1055030000000	926283000000	1141270000000	1388070000000	1534430000000	1560370000000
Austria	334292000000	386439000000	427627000000	397570000000	389656000000	429100000000	407575000000	428322000000
Azerbaijan	20982270733	33050343783	48852482960	44291490421	52902703376	65951627200	68730906314	73560484385
Burundi	1273180655	1356078300	1611634286	1739781536	2026864414	2355652064	2472384864	2714507031
Belgium	410678000000	472285000000	520109000000	485804000000	484404000000	528238000000	498853000000	524806000000
Benin	4705087452	5511880906	6633463907	6584477485	6561782313	7289779658	7543183759	8307222087
Burkina Faso	5844669738	6755823933	8350710389	8348156389	9209288383	10395757480	10726305450	11582556068
Bangladesh	71819088743	79611888213	91631278239	102478000000	115279000000	128638000000	133356000000	149990000000
Bulgaria	33649638299	43634648380	53316401915	50161405417	48669060512	55765057234	52588115104	54479873100
Bahrain	18505545360	21730577941	25711151182	22938462111	25713544825	29044378132	30756789966	32890110533
"Bahamas, The"	7965588000	8318996000	8246650000	7820420000	7910000000	7931000000	8219000000	8420000000
Bosnia and Herzegovina	12550175101	15441062281	18711890354	17264893103	16847493059	18318439121	16906005781	17851326454
Belarus	36961918859	45275711996	60763483146	49208656976	55220932614	59734593905	63615445567	71709513654
Belize	1217442150	1290542550	1368625150	1336957250	1397113450	1487005600	1573867300	1624294250
Bermuda	5414299000	5895048000	6109928000	5806378000	5744414000	5550771000	5473536000	
Bolivia	11451845341	13120183157	16674324634	17339992165	19649631308	23948541156	27035110130	30601157742
Brazil	1088920000000	1366820000000	1653510000000	1620190000000	2143070000000	2476690000000	2248780000000	2245670000000
Barbados	4314050000	4513250000	4541550000	4592650000	4433700000	4368900000	4224850000	
Brunei Darussalam	11470703002	12247694247	14393099069	10732366286	12369708859	16691360399	16953952625	16111135789
Bhutan	897672086	1196091805	1258193519	1264758198	1585396256	1820207626	1823692110	1781261413
Botswana	10126990496	10939028151	11113042240	10106837293	13746712711	15365212953	14537486274	14784707345
Central African Republic	1473721521	1698125680	1985370255	1981728179	1986014759	2195599491	2169706411	1538175744
Canada	1310800000000	1457870000000	1542560000000	1370840000000	1614070000000	1778630000000	1821450000000	1826770000000
Central Europe and the Baltics	996747000000	1255130000000	1510800000000	1270150000000	1303580000000	1434870000000	1340630000000	1417540000000
Switzerland	429181000000	477421000000	551552000000	539508000000	581209000000	696279000000	666101000000	685434000000
Channel Islands	9676172953	11514605842						
Chile	154671000000	173006000000	179858000000	172323000000	217502000000	251162000000	266259000000	277199000000
China	2712950000000	3494060000000	4521830000000	4990230000000	5930500000000	7321890000000	8229490000000	9240270000000
Cote d'Ivoire	17800887469	20343636059	24224905504	24277494337	24884503951	25381617036	27098590232	31062026533
Cameroon	17953066391	20431781120	23322256428	23381142604	23622482955	26587310734	26472054176	29567504655
"Congo, Rep."	7731261169	8394688589	11859015181	9593536719	12007880067	14425606793	13677929162	14085852120
Colombia	162774000000	207520000000	244057000000	233822000000	287018000000	335415000000	370328000000	378415000000
Comoros	406111893	462453622	517477660	514788085	516962950	566024676	550476499	598925863
Cabo Verde	1107890815	1513934037	1789332788	1711816593	1664310633	1864823991	1757304419	1879402554
Costa Rica	22526464409	26321999607	29831167681	29382692643	36298327670	41237296807	45374788701	49621089476
Caribbean small states	52490948176	58438689570	66698700873	56145294969	59375034445	64008052114	65360347414	67033118185
Cuba	52742100000	58603500000	60806200000	62078610000	64328220000	68233900000		
Curacao								
Cayman Islands								
Cyprus	18435765910	21841815681	25321517504	23542650736	23132450331	24851264943	22766912960	21911444503
Czech Republic	155213000000	188818000000	235205000000	205730000000	207016000000	227307000000	206751000000	208796000000
Germany	2998470000000	3435510000000	3747060000000	3412770000000	3412010000000	3752110000000	3533240000000	3730260000000
Djibouti	768873684	847918929	999105339	1198997305	1128611700	1239144502	1353632942	1456344495
Dominica	397777778	428888889	468888889	498888889	492962963	508518519	514814815	516666667
Denmark	282962000000	319500000000	352589000000	319764000000	319812000000	341498000000	322277000000	335878000000
Dominican Republic	35965041793	44078280922	48143840500	47889008135	53042943731	58145330250	60331668443	61163676805
Algeria	117027000000	134978000000	171000000000	137212000000	161207000000	199071000000	204331000000	210183000000
East Asia & Pacific (developing only)	3693460000000	4663840000000	5895850000000	6360250000000	7628840000000	9293590000000	10331100000000	11413600000000
East Asia & Pacific (all income levels)	10675200000000	11955600000000	13785500000000	14162000000000	16439300000000	18992700000000	20293500000000	20498600000000
Europe & Central Asia (developing only)	1164180000000	1475120000000	1756560000000	1463060000000	1652860000000	1847860000000	1873980000000	2001150000000
Europe & Central Asia (all income levels)	17966900000000	21003700000000	23065300000000	20300600000000	20811100000000	22913600000000	22002500000000	22920200000000
Ecuador	46802044000	51007777000	61762635000	62519686000	69555367000	79276664000	87623411000	94472679000
"Egypt, Arab Rep."	107484000000	130478000000	162818000000	188984000000	218888000000	236001000000	262832000000	271973000000
Euro area	11138000000000	12820800000000	14053000000000	12857700000000	12595600000000	13577000000000	12620300000000	13148100000000
Eritrea	1211161880	1317974493	1380188800	1856695550	2117039511	2607739837	3091967480	3444097561
Spain	1264490000000	1479270000000	1635050000000	1498980000000	1431590000000	1494600000000	1355730000000	1393040000000
Estonia	16958044846	22228670168	24185794095	19640620154	19479012423	22803433933	22660754204	24880264958
Ethiopia	15280701944	19707616773	27066912635	32437389116	29933790334	31952763089	43310721414	47525186490
European Union	15273700000000	17661400000000	19008900000000	17001800000000	16934800000000	18308300000000	17252000000000	17958100000000
Fragile and conflict affected situations	332785000000	419260000000	535480000000	472586000000	556082000000	589817000000	680553000000	713499000000
Finland	216541000000	255372000000	283753000000	251484000000	247800000000	273674000000	255776000000	267329000000
Fiji	3103099942	3405050612	3523185920	2870624636	3140508836	3646423266	3849824013	3855017107
France	2324890000000	2662980000000	2923570000000	2693670000000	2646840000000	2862680000000	2686720000000	2806430000000
Faeroe Islands	1970135199	2278229880	2412859693	2198138372				
"Micronesia, Fed. Sts."	252991200	255890800	261339600	277510900	294117200	310287500	326161000	316245700
Gabon	9545982814	11570860872	15685389827	12031268402	14569527125	18796191833	17843815459	19343506599
United Kingdom	2582820000000	2963270000000	2791860000000	2308930000000	2407930000000	2591850000000	2614950000000	2678450000000
Georgia	7761900166	10172260745	12799337248	10766836277	11638536834	14434619982	15846474596	16140047012
Ghana	20410331626	24757553102	28528014621	25978508376	32174839713	39564771637	41740926505	48137027487
Guinea	2821346684	4134173271	4515824643	4609923720	4735956476	5067360041	5651088170	6144131903
"Gambia, The"	655068112	798869804	965771304	900641059	951827285	904256028	912427787	903497026
Guinea-Bissau	591829898	695606314	864107768	825796953	847491367	1103652041	958857944	960778480
Equatorial Guinea	8081982438	10201201022	15439740345	9364826470	11582917790	15725711943	16496531233	15580563836
Greece	273265000000	318668000000	354629000000	329837000000	299598000000	288803000000	249525000000	242230000000
Grenada	698700654	758683579	825977874	771278098	771015875	778648653	799882134	835581689
Greenland	1738432116	2121759848	1739579594	1267711816				
Guatemala	30231117390	34113093454	39136507937	37733655166	41337958252	47654841113	50388454861	53796709475
Guam								
Guyana	1458449058	1740334782	1922598121	2025565089	2259288396	2576602497	2851154076	2990128821
High income	40251900000000	44234100000000	47263200000000	43978500000000	46366500000000	50266000000000	50442700000000	51091000000000
"Hong Kong SAR, China"	193536000000	211597000000	219280000000	214046000000	228638000000	248514000000	262630000000	274013000000
Honduras	10841723354	12275491273	13789720387	14587485644	15839344592	17710325578	18564264545	18550026035
Heavily indebted poor countries (HIPC)	283321000000	338985000000	407490000000	407175000000	450893000000	502249000000	538152000000	583955000000
Croatia	50436294495	60065225494	70461454280	62636688809	59643818182	62241414803	56479515972	57868674298
Haiti	4879738636	5885325590	6548530572	6584649419	6622541529	7516834160	7890216508	8459326660
Hungary	114238000000	138580000000	156579000000	129360000000	129586000000	139440000000	126825000000	133424000000
Indonesia	364571000000	432217000000	510245000000	539580000000	709191000000	845932000000	876719000000	868346000000
Isle of Man	3437450712	4075664785						
India	949117000000	1238700000000	1224100000000	1365370000000	1708460000000	1880100000000	1858740000000	1876800000000
Not classified								
Ireland	230523000000	269283000000	273732000000	233542000000	218435000000	237772000000	221966000000	232077000000
"Iran, Islamic Rep."	222881000000	286058000000	355988000000	362661000000	422568000000	528426000000	502729000000	368904000000
Iraq	65141035028	88837727881	131612000000	111661000000	138517000000	185750000000	216044000000	229327000000
Iceland	17101040182	21446741082	17599245766	12823849535	13261035517	14665793477	14182614909	15330057867
Israel	152231000000	176674000000	213921000000	206479000000	232908000000	258418000000	257206000000	290551000000
Italy	1943430000000	2203970000000	2391960000000	2186110000000	2126620000000	2278230000000	2091760000000	2149480000000
