Country	Happiness	2000	2001	2002	2003	2004
Albania	4.6	6442279085	6893238620	7093142540	7497451665	7939801314
Algeria	5.2	78895342484	82534408887	87156335785	93431591961	97449150416
Angola	4.3	17245698514	17973633439	20457911760	21531454923	23873962039
Argentina	6.8	201959750148	193055668513	172023248029	187225012601	204130632390
Armenia	3.7	2754946339	3018226684	3416219125	3895883451	4303698370
Australia	7.3	590990901233	602389157113	625660026061	644925655534	671732538036
Austria	7	288929631274	292831682585	297680535741	299931471547	308046854698
Azerbaijan	4.9	7035249733	7731739456	8551303777	9509049820	10478972940
Bangladesh	5.7	46268661601	48708877344	50859574435	53532750754	56889523443
Belarus	4.3	21041101430	22035357859	23147100568	24777395460	27614343544
Belgium	7.3	355035280804	358316769263	363904793314	367143188081	379752666517
Bolivia	5.8	8201398323	8339493389	8546776986	8778509155	9144862288
Brazil	7	768993045034	779104504753	799797319910	808968988193	855192804053
Bulgaria	4.5	22712754600	23575583113	24631821956	25951391108	27653728343
Canada	7.6	1026878406014	1044215955949	1073473509321	1094141282236	1128484060364
Chile	6.9	101250644204	104640698419	106908166747	111138254012	117852212337
China	6.5	147644758859	148472861828	150932686289	155545647439	169078302917
Colombia	8.1	122659075459	124717170010	127840063584	132849184877	139934061223
Croatia	5.9	36454652841	37706653030	39684922977	41890574103	43600886940
Denmark	8	247446864102	249483738008	250647076311	251624828854	258265084919
Dominican Republic	6.8	28565149660	29081958770	30765282834	30687336281	31089941311
El Salvador	7.2	15219053495	15479137440	15841476610	16205836634	16505731408
Estonia	5.2	9921578744	10532558449	11177325648	12013445754	12791598891
Finland	7.5	179902086753	184544985450	187645941153	191387571382	198901556857
France	6.6	2029989219271	2069664331941	2092812635303	2109963897553	2168756440332
Georgia	4.1	4501184537	4717486805	4975714395	5525933974	5849606150
Germany	7.1	2777363465901	2824447720116	2824751487091	2804398931503	2837509796423
Ghana	7.7	8393646451	8729392309	9122214936	9596570111	10133978037
Greece	6.3	204952790255	212611721758	219335821022	233894807367	245478738870
Guatemala	7.6	23441934442	23988727948	24916285306	25546876111	26352121441
Honduras	7.2	7704758600	7914574068	8211713918	8585103675	9120153346
Hungary	5.5	91042897048	94443450703	98685045032	102413708617	107318662708
Iceland	7.8	13676932441	14191590145	14255942205	14642483262	15847357697
India	5.7	602653710235	631725521906	655756204857	707301144107	763340165418
Indonesia	6.6	226918055661	235185738881	245767863325	257516474374	270471803588
Ireland	7.8	165931802592	174681836169	184880325946	190347654455	199062527608
Israel	6.7	127394340547	127535436212	127457569296	128830304064	135340222201
Italy	6.9	1768788645351	1800146087524	1804660631622	1807414594588	1836031712928
Japan	6.2	4308092386300	4323406005373	4335924360488	4408989530134	4513073873671
Jordan	5.1	9241357060	9728503194	10292015596	10720549509	11638522125
Kenya	5.2	15672664145	16265076195	16354023315	16833601049	17692838510
Latvia	4.8	10822812606	11693345404	12450199800	13346108625	14504256891
Lebanon	5.3	17383441662	18070698831	18680381901	19285138788	20727436194
Lithuania	4.9	17924960438	19132334492	20445486537	22540470795	24197371918
Luxembourg	7.6	31791026215	32426876586	33489155847	33887728200	35557130777
Mali	4.9	3901566287	4373655808	4555307683	4894286121	5001251734
Malta	8	5721155308	5632483775	5790846034	5798495016	5769315566
Mexico	7.5	798694407368	793858373512	794905609001	806214502505	840847173784
Moldova	3.5	2122817827	2252309715	2427989875	2588237217	2780027212
Montenegro	5.5	1965064919	1986680633	2024427565	2075038254	2166339937
Morocco	5.6	46686017639	50211723276	51876762054	55153800019	57802211816
Netherlands	7.6	633768690121	644061228921	643844809108	645556319330	657546445680
New Zealand	7.4	93980935909	97381225746	102273893118	106453732692	110231550953
Nigeria	6.5	67850915773	70843863904	73525054912	81137974799	108510499440
Norway	7.4	272719596430	278146992627	282324873884	285094140473	296386806364
Pakistan	4.3	85822303910	87523717381	90345858358	94724308606	101704136879
Peru	6	60800068649	61175710374	64512089612	67198921737	70530831291
Philippines	6.4	82353669774	84736978727	87826402660	92191694324	98366358824
Poland	5.9	262992798132	266162654537	270004710306	279623717099	293984228677
Portugal	6.7	188974461026	192646811670	194127870840	192314317142	195798251878
Romania	4.7	74659324662	78899950997	82871199517	87142617156	95094333148
Senegal	5.7	6933511418	7251129781	7298610447	7786393234	8243514644
Serbia	5.1	19424713892	20394534308	21845766151	22810347181	24873888218
Singapore	6.9	100380256750	99424345537	103611787327	108207310094	118540216014
Slovenia	6.3	30461692313	31360118885	32563188784	33488661701	34946019745
South Africa	5.6	204702907566	210302398288	218015948749	224445401336	234667864557
South Korea	5.8	712753633298	745008012435	800380238376	823857047979	864224819957
Spain	6.6	979526070487	1018717723225	1048054745560	1081462112993	1115709382306
Sweden	7.5	341717395405	347059840285	354256394052	362708031378	378378940001
Switzerland	8	378377162785	383850747123	384401167492	384592246241	395526005172
Tanzania	3.2	10060678389	10664100660	11428029221	12214989201	13171215003
Turkey	5.6	386579274019	364554010843	387024535457	407402404245	445546707362
Uganda	5.2	6517689669	6855544615	7454217784	7936748583	8477021579
Ukraine	3.6	59536498012	65013855829	68394576332	74823666508	83877330155
Uruguay	6.7	17205113129	16543726221	15264564115	15387487195	16157501729
Uzbekistan	6.2	10995014210	11456804808	11915077000	12415510234	13371504522
United States	7.4	11552660007327	11665527705809	11874004439088	12207433440941	12669793717319
Vietnam	6.1	41288646006	43845607803	46617010183	49833147314	53588777916
Zimbabwe	3.3	8447465997	8569076991	7806941277	6480145789	6103808840
